HEADSHOTS THAT WE NEED

5  DeChambeau, Bryson
8  Schauffele, Xander
12  Woods, Tiger
13  Finau, Tony
19  Cantlay, Patrick
28  Smith, Cameron
31  Scott, Adam
32  Bradley, Keegan
38  Aphibarnrat, Kiradech
40  Stanley, Kyle
42  Pepperell, Eddie
44  Fitzpatrick, Matthew
46  Olesen, Thorbjorn
51  Reavie, Chez
52  Kim, Siwoo
59  Kodaira, Satoshi
66  Imahira, Shugo
67  Otaegui, Adrian
68  Mitchell, Keith
69  Fox, Ryan
71  List, Luke
72  Bjork, Alexander
78  Harman, Brian
80  Hoffman, Charley
81  Herbert, Lucas
82  Champ, Cameron
87  Frittelli, Dylan
88  Im, Sungjae
89  Cink, Stewart
96  Levy, Alexander
98  Suri, Julian
99  Campillo, Jorge
100  Uihlein, Peter
101  Haotong, Li
101  Miyazato, Yusaku
101  Hahn, James
101  Sharma, Shubhankar
101  Paisley, Chris
101  Lahiri, Anirban
101  Dunne, Paul
101  Han, Seungsu
101  Kim, Chan
101  Coetzee, George
101  Lovemark, Jamie
101  Zanotti, Fabrizio
101  Dubuisson, Victor
101  L Smith, Jordan
